gage,area
06228350,229.905
06614800,4.02172
06620000,3685.97
06622700,98.2501
06623800,188.293
06625000,678.004
06630000,10932.8
06632400,162.034
06634620,2434.19
06635000,5299.3
06646000,360.354
06647500,165.362
06661585,4367.19
06670500,11676.9
06693800,42.1122
06701970,25.2141
06706400,804.508
06706600,8.24779
06706800,124.036
06708800,305.157
06709000,711.128
06709530,820.62
06710247,8017.54
06710385,267.235
06710605,455.701
06710995,122.821
06711565,8776.71
06712000,436.301
06713000,994.496
06713300,1043.6
06713500,1057.01
06714215,10074.5
06714800,2.54895
06715000,220.183
06716100,148.854
06716500,380.315
06717400,113.388
06718300,690.882
06718550,155.422
06719505,1022.22
06720460,64.4371
06720820,120.842
06720990,372.628
06725450,1087.63
06730200,799.458
06730400,80.1606
06730500,1178.34
06741510,1386.18
06746095,8.72778
06746110,17.9521
06751150,917.872
06751490,1399.42
06752260,2966.27
06752280,3219.13
06754000,24991.3
06755960,661.361
06823000,2577.03
07079300,129.148
07081200,257.791
07083000,60.9857
07093700,3739.24
07093740,274.465
07093775,546.514
07096000,6534.79
07096250,702.639
07097000,10246.1
07099050,316.378
07099400,11949.2
07099970,12259.6
07103700,261.819
07103780,211.172
07103785,6.14756
07103790,315.239
07103797,18.7838
07103800,38.5167
07103930,60.0965
07103940,387.654
07103960,42.0443
07103970,466.02
07103977,15.4869
07103980,26.5372
07103985,7.48521
07103990,48.9418
07104000,526.844
07105000,18.0356
07105490,29.9519
07105530,1069.07
07105900,169.415
07105945,17.5339
07106300,2231.66
07106500,2398.42
07107900,25.414
07108100,11.5354
07108900,1227.65
07109500,16196.5
07119500,2938.61
07119700,27797.4
07121500,1322.47
07123000,30825.5
07124000,36514.9
07124200,1307.26
07124410,1741.63
07126200,420.548
07126300,4955.56
07126485,7143.26
07128500,8913.49
07130500,47301.7
07133000,50118.9
07134990,392.841
07137500,63277.0
07203000,893.549
07204000,205.3
07204500,189.614
07205000,28.7539
07206000,477.73
07207500,480.673
07208500,158.496
07211500,7218.28
07215500,450.361
07216500,689.966
07218000,626.289
07221500,15402.5
07227000,28142.2
08220000,3385.42
08227000,1339.33
08251500,11684.2
08252500,65.6326
08253000,48.7323
08253500,6.68067
08254000,143.005
08255500,565.72
08263500,14055.1
08265000,290.708
08267500,96.1772
08269000,163.327
08271000,43.7501
08275500,208.637
08276300,1004.19
08276500,16747.8
08277470,258.419
08278500,96.9932
08279000,829.221
08279500,18390.4
08284100,1225.4
08285500,2066.19
08286500,3963.23
08287000,5377.51
08289000,1067.14
08290000,7961.11
08291000,238.892
08294210,87.8323
08302500,30.4932
08313000,28235.0
08313268,28774.4
08316000,47.3178
08317400,29237.9
08319000,32924.7
08324000,1222.72
08329000,2695.86
08329835,85.5496
08329900,214.461
08330000,36799.0
08341500,547.172
08343500,3010.43
08377900,139.257
08378500,444.876
08379500,2699.53
08380500,197.769
08382650,5994.05
09010500,165.461
09019500,837.577
09022000,27.2045
09024000,61.189
09025000,72.3167
09032000,51.7933
09032100,12.3492
09033100,170.316
09033300,580.63
09034250,2041.58
09034900,15.5385
09035500,42.6173
09035700,91.2282
09035800,22.9317
09035900,71.2397
09036000,231.836
09037500,476.946
09038500,595.908
09041090,374.545
09041400,700.066
09046490,109.6
09046530,19.8234
09046600,282.923
09047500,149.924
09047700,23.6302
09050100,238.937
09050700,830.206
09051050,48.1725
09058500,33.2808
09058610,8.75868
09058700,7.66116
09058800,9.29103
09059500,217.969
09063000,181.749
09063400,61.5498
09063900,16.681
09064000,95.0896
09064500,125.89
09064600,482.26
09065100,89.1872
09065500,37.6469
09066000,32.3462
09066100,11.8005
09066150,14.0045
09066200,16.0249
09066300,15.5218
09066325,199.304
09066400,18.9954
09066510,263.869
09067000,38.4097
09067020,1038.42
09067200,120.636
09070000,2443.5
09070500,11333.0
09073300,196.922
09073400,274.084
09074000,108.111
09080400,612.677
09081000,2225.14
09081600,433.417
09083800,903.279
09085000,3763.1
09085100,15534.9
09089500,166.243
09095300,246.99
09095500,20611.8
09105000,1533.09
09106150,22591.7
09107000,330.894
09109000,658.402
09110000,1236.26
09111500,178.421
09112200,613.308
09113980,422.762
09114500,2617.37
09115500,384.324
